Sentence,QorA,,,,,,,,,,,,
Are Count Volta 's original instruments and papers on display there  ,1,,,,,,,,,,,,
"   Vista has more features than XP, but many of them didn't make the OS more usable for me .",0,,,,,,,,,,,,
Was Volta made a count in 1810 ,1,,,,,,,,,,,,
" But it's great value for money, great location, pleasant staff, good food, and we'll be staying there again .",0,,,,,,,,,,,,
What is Northern California's most widely circulated newspaper,1,,,,,,,,,,,,
Is there a form of the language?,1,,,,,,,,,,,,
"Is all teaching done in English , Ghana 's official language  ",1,,,,,,,,,,,,
"What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"") ",1,,,,,,,,,,,,
"and I could have gotten a matte screen, but neither of those  features  impressed me .",0,,,,,,,,,,,,
" The leather seat is not the most comfortable, but not bad .",0,,,,,,,,,,,,
Was King Victor Emmanuel III there to pay homage to Avogadro  ,1,,,,,,,,,,,,
What happened in 1757 to 1759 ,1,,,,,,,,,,,,
The unification of Italy did what ,1,,,,,,,,,,,,
 The hotel has a great location with easy access to most of London's tourist sites .,0,,,,,,,,,,,,
"The positives were the location, a block from the Gloucster Rd .",0,,,,,,,,,,,,
" A true bargain in the London hotel market, and a very convenient location adjacent to the Gloucester road underground station .",0,,,,,,,,,,,,
Whom did he share the Nobel Prize with ,1,,,,,,,,,,,,
 Has all the features of my bigger laptop except a large screen .,0,,,,,,,,,,,,
"just a big dark, screen paperweight .",0,,,,,,,,,,,,
" Most of my professors teach from Power Points, and it makes my life so much simpler having the PPT on my screen that I can annotate while listening to the lecture .",0,,,,,,,,,,,,
What is surplus killing ,1,,,,,,,,,,,,
Is Romania a semi-presidential unitary state ,1,,,,,,,,,,,,
" Now with the Kindle 2, I can change the print to suit my eyes and further, I can make more intelligent choices of books because I have more information of what is available at my finger tips .",0,,,,,,,,,,,,
How many species of penguins are there ,1,,,,,,,,,,,,
Which part of the strings does the left hand touch?,1,,,,,,,,,,,,
"Are the Pleurodira sometimes known as the side-necked turtles , a reference to the way they withdraw their heads into their shells ?",1,,,,,,,,,,,,
Ghana 's spending on education has what ,1,,,,,,,,,,,,
Is volta buried in the city  of Como?,1,,,,,,,,,,,,
Who determined to pursue mathematics ,1,,,,,,,,,,,,
Who began control of migration to the city in order to stem the overcrowding and poverty ,1,,,,,,,,,,,,
What shape are a leopard's black roS08_settes in East Africa ,1,,,,,,,,,,,,
Is the ant a marsupial ,1,,,,,,,,,,,,
"What does the ""voice"" of a violin depend upon ",1,,,,,,,,,,,,
" As easy to use as any other iPod, and the video is good .",0,,,,,,,,,,,,
Great location service questionable .,0,,,,,,,,,,,,
Does Vietnamese have a large number of vowels ,1,,,,,,,,,,,,
Nice gas mileage for a family car .,0,,,,,,,,,,,,
", followed shortly thereafter by a knock and a housekeeper telling us our sign wasn't out  the hotel's extremely limited cable service    our housekeeper didn't refill replace our shampoo or shower gel our entire stay, nor did she empty all of our trash bins at any one time  our room service on two occasions brought us cold soggy, , and very late, , food  the lobby bar closes at 9 p .",0,,,,,,,,,,,,
How many species of otter are there ,1,,,,,,,,,,,,
" Great car, really comfortable and quiet .",0,,,,,,,,,,,,
"Who did President Lincoln promote of major general in the regular army, effective July 4?",1,,,,,,,,,,,,
" The video camera is a great feature to have, however its not that high of a quality when you transfer it onto your computer .",0,,,,,,,,,,,,
What method is used by Kangaroos to travel ,1,,,,,,,,,,,,
Who did James Monroe marry ,1,,,,,,,,,,,,
"The saving grace of this hotel, is the friendly staff and its location in Kensington .",0,,,,,,,,,,,,
Was Faraday considered a gentleman?,1,,,,,,,,,,,,
" Having the touchpad feature of expanding zooming the presentation on the screen is a nice feature, but I have to admit having never needing to use it   .",0,,,,,,,,,,,,
"Are ""upright pianos"" called ""vertical pianos"" ",1,,,,,,,,,,,,
What thrust him into the national spotlight ,1,,,,,,,,,,,,
Do ants belong to the same order as bees ,1,,,,,,,,,,,,
"Was coulomb born in Angoulême,  France ,  to a well  to do  family?",1,,,,,,,,,,,,
Is the trumpet constructed of brass tubing bent twice into an oblong shape ,1,,,,,,,,,,,,
Can a xylophone be 3 octaves?,1,,,,,,,,,,,,
 but I do miss the more comfortable ride of my '05 & '96 Camry's .,0,,,,,,,,,,,,
What happened in 1811 ,1,,,,,,,,,,,,
What family is Malay a member of ,1,,,,,,,,,,,,
Who was Blaise Pascal's father ,1,,,,,,,,,,,,
Where did Charles-Augustin de Coulomb die?,1,,,,,,,,,,,,
What is Swahili language`s last name?,1,,,,,,,,,,,,
" Room service was efficient, average priced, and decent food .",0,,,,,,,,,,,,
Is octopus a common food in Mediterranean cuisine as well as Portuguese cuisine ,1,,,,,,,,,,,,
" Glad you listen to the radio, play games and take video  .",0,,,,,,,,,,,,
"I can't tell what positives it offers still, but it's still a nifty upgrade with a lot of nifty features over XP that make for a more fun experience for some, and a more organized experience involving navigating huge catacombs of archives and files .",0,,,,,,,,,,,,
"Why Churchill called the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat"" ",1,,,,,,,,,,,,
What did Alessandro Volta publish in 1800 ,1,,,,,,,,,,,,
Are Gray Wolves native to North America ,1,,,,,,,,,,,,
" none of my old Nano asseccories work with this one  Fun new Ipod, the video feature is fun but difficult to learn how to use .",0,,,,,,,,,,,,
"What shares land borders with Papua New Guinea, East Timor and Malaysia ",1,,,,,,,,,,,,
"In Turkish, which syllable usually has the stress ",1,,,,,,,,,,,,
What was the result of the rejection of the Jay Treaty ,1,,,,,,,,,,,,
 The screen is small but still large enough to read comfortably   .,0,,,,,,,,,,,,
What is the Polish word for swan?,1,,,,,,,,,,,,
 A nice restaurant with reasonable prices and great food .,0,,,,,,,,,,,,
"Is the study of beetles called coleopterology , and its practitioners are coleopterists  ",1,,,,,,,,,,,,
Did Uganda make Swahili a required subject in primary schools ,1,,,,,,,,,,,,
What was made in Russia's largest foundry ,1,,,,,,,,,,,,
 Turned out to be this excellent property in a prime location .,0,,,,,,,,,,,,
" Location is great, hotel is wonderful, and price is right, it really is hard to beat right now .",0,,,,,,,,,,,,
Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ;  ,1,,,,,,,,,,,,
What is cello an abbreviation of?,1,,,,,,,,,,,,
 Location is excellent to the tube stations .,0,,,,,,,,,,,,
 My family of 5 can comfortably ride in this car .,0,,,,,,,,,,,,
What is the name of the largest church in Montreal ,1,,,,,,,,,,,,
 I got used to the glossy screens a while ago  this one is remarkably bright and vivid .,0,,,,,,,,,,,,
Did Uruguay host the first ever World Cup?,1,,,,,,,,,,,,
 Location could not have been better with the Gloucester Road tube station just a few minutes' walk from the hotel .,0,,,,,,,,,,,,
 Unfortunately my wife lost about 50 percent of her eyesight ten years ago and has not been able to enjoy reading since then .,0,,,,,,,,,,,,
was he active in the area now called environmental science ,1,,,,,,,,,,,,
What are the smallest trumpets referred to as ,1,,,,,,,,,,,,
" But we also didn't give them any hard times, so they didn't have to fake anything  ,   The location of the hotel is just perfect .",0,,,,,,,,,,,,
What are deposited in holes dug into mud or sand?,1,,,,,,,,,,,,
"Do the ants eat plants, meats, or both ",1,,,,,,,,,,,,
Is the dragonfly associated with late summer as well as early autumn ,1,,,,,,,,,,,,
"Give an example of the longest, most destructive, and most lethal sieges of major cities in modern history. ",1,,,,,,,,,,,,
" The touchpad feels great, the boot up was fast, keyboard feels comfortable, and the screen is good .",0,,,,,,,,,,,,
What happened to Copenhagen between 1251 and 1255?,1,,,,,,,,,,,,
" It's a great location and the rooms are nice and clean and yes, a bit small but definately NOT tiny .",0,,,,,,,,,,,,
How do india and latin america relate?,1,,,,,,,,,,,,
" 10  can be enough for some, but it was kinda small for me, so the thing I did was try to max out the screens by removing unnecessary menus .",0,,,,,,,,,,,,
" Love that you can change the voice person talking on this one, my last one didn't do that .",0,,,,,,,,,,,,
 I had read about concerns the voice prompts were not loud enough .,0,,,,,,,,,,,,
Is folk music associated with western Europe ,1,,,,,,,,,,,,
Where are the only surviving giant tortoises?,1,,,,,,,,,,,,
"   Clean rooms, bustling lobby, GREAT location .",0,,,,,,,,,,,,
"Did ford get an award called ""Congressman's congressman"" ",1,,,,,,,,,,,,
Good Location Horrible Service Disgusting Procedures .,0,,,,,,,,,,,,
In what year did Henri Becquerel win the Nobel Prize in Physics?,1,,,,,,,,,,,,
" The Voice Prompted turn by turn directions make it easy to get from one place to another without having to look up at the GPS, but of course you also get turn, by, turn directions on the GPS with a touch of the screen .",0,,,,,,,,,,,,
 Voice commands were mechanical but clear .,0,,,,,,,,,,,,
What was the Faraday effect first called?,1,,,,,,,,,,,,
 The only complaint I have is that the voice is a little bit tinny especially if the volume is turned up .,0,,,,,,,,,,,,
good location great deal on priceline .,0,,,,,,,,,,,,
Great location but not sure it's worth the money .,0,,,,,,,,,,,,
Is Nairobi the capital of Kenya ,1,,,,,,,,,,,,
" Overall, for the money, location, and for the piece of mind knowing that its going to be clean and comfortable, look no further .",0,,,,,,,,,,,,
Is it a winter sports resort ,1,,,,,,,,,,,,
 It is so much easier to read than a paper page and you can adjust the font size as needed .,0,,,,,,,,,,,,
What centred in Sierra ,1,,,,,,,,,,,,
Are there any cities named Santiago in the United States?,1,,,,,,,,,,,,
Do males use a specialized arm called a hectocotylus to insert spermatophores ,1,,,,,,,,,,,,
Are tigers solitary animals?,1,,,,,,,,,,,,
Excellent location in the nice and relatively quiet area 100m from Tube station and shops restaurants .,0,,,,,,,,,,,,
" Interior is very roomy, and I can sit comfortably in the rear seat at 6'2  .",0,,,,,,,,,,,,
 The fashionable glossiness of both body and screen acquires fingerprints and smears rapidly .,0,,,,,,,,,,,,
Is the museum collection also the national art collection of Liechtenstein  ,1,,,,,,,,,,,,
" Otherwise, really great location with the refrige being key .",0,,,,,,,,,,,,
Was Tesla hired by Edison?,1,,,,,,,,,,,,
Is polar bear a mammal ,1,,,,,,,,,,,,
Was Fillmore the first U.S. President born after the death of a former president  ,1,,,,,,,,,,,,
" Truly, this helps in my eyes .",0,,,,,,,,,,,,
" The screen is crisp and clear, and the unit runs great .",0,,,,,,,,,,,,
Why does Jakarta suffer frequent flooding ,1,,,,,,,,,,,,
 A lot of the new finder desktop windows features are awkward working versions of what Mac OS X has had for a couple of years or more .,0,,,,,,,,,,,,
 Streaming videos from Hulu and Netflix look incredible on this 10 inch screen .,0,,,,,,,,,,,,
Does the Gendarmenmarkt border the French Cathedral ,1,,,,,,,,,,,,
Convenient location Great Concierge service .,0,,,,,,,,,,,,
Who is the mayor of Ottawa?,1,,,,,,,,,,,,
What does the PRC government classify as literacy amongst workers ,1,,,,,,,,,,,,
Where is Arabic spoken ,1,,,,,,,,,,,,
" And maybe it's something I need to figure out how to fix, but I don't like the aspect ratio of the screen either .",0,,,,,,,,,,,,
Great Location and Hotel for the Money .,0,,,,,,,,,,,,
Was Tesla born in the United States?,1,,,,,,,,,,,,
Is the spelling of Turkish phonetic ,1,,,,,,,,,,,,
Is it a host city for the Formula One World Championship ,1,,,,,,,,,,,,
Was it derived from Latin ,1,,,,,,,,,,,,
"Refer most chinese and chinese linguists to chinese as a single language and Chinese language`s subdivisions dialects , while others call chinese a language family ?",1,,,,,,,,,,,,
 The greatest shortcoming is the small screen resolution .,0,,,,,,,,,,,,
" Gas mileage for us will be what it is rated, maybe a little better on highway on the flat open roads of West Texas if you don't put your foot in it all the time .",0,,,,,,,,,,,,
Are there two common  word  orders?,1,,,,,,,,,,,,
What is the most basic form of the flute ,1,,,,,,,,,,,,
What situated in Northern ,1,,,,,,,,,,,,
In what year did Germany seize Tanganyika ,1,,,,,,,,,,,,
Are the largest turtles aquatic?,1,,,,,,,,,,,,
"Was Grover Cleveland elected Sheriff of Erie County, New York ",1,,,,,,,,,,,,
Has tusklessness become a rare abnormality ,1,,,,,,,,,,,,
"Are Various trees claimed to be "" the "" apple tree which Newton describes  ",1,,,,,,,,,,,,
Has this inspired genetic researchers to begin examining the turtle genome for longevity genes ?,1,,,,,,,,,,,,
" Great location, one block from the Gloucester Tube station with a number of acceptable restaurants in the area within walking distance .",0,,,,,,,,,,,,
 1 keyboard still floats  2the screen goes to a solid blue screen either right after starting or after it sits a while .,0,,,,,,,,,,,,
Was Pascal a French mathematician ,1,,,,,,,,,,,,
Where was Avogadro a professor of physics?,1,,,,,,,,,,,,
" Yes, screen is small, video card is weak, and keyboard is cramped, but this is the case for other netbooks at this price point .",0,,,,,,,,,,,,
"Excellent Hotel ,  Great Location .",0,,,,,,,,,,,,
Is spanish an official language of the European Union?,1,,,,,,,,,,,,
What is the middle pedal called on grand pianos ,1,,,,,,,,,,,,
" Its ride, comfort and overall performance is an absolute joy .",0,,,,,,,,,,,,
" Again, the screen is too small for this to be anything more than just satisfying from a purchase standpoint .",0,,,,,,,,,,,,
 The screen rotation angle is good enough for putting the netbook on desktop .,0,,,,,,,,,,,,
"Is it the smallest and highest-pitched member of the violin family of string instruments, which also includes the viola and cello ",1,,,,,,,,,,,,
There is not a lot of new features in the operating system .,0,,,,,,,,,,,,
" Believe me, the location alone is worth the stay .",0,,,,,,,,,,,,
Is it true that the portuguese came to ghana in the 15th century ,1,,,,,,,,,,,,
What is the official language of Liechtenstein ,1,,,,,,,,,,,,
When was the An Shi Rebellion launched?,1,,,,,,,,,,,,
Do arabs consider literary Arabic?,1,,,,,,,,,,,,
Was Celsius born in Uppsala in Sweden ,1,,,,,,,,,,,,
What is a hybrid animal resulting from a union between a leopard and a puma ,1,,,,,,,,,,,,
"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap) ",1,,,,,,,,,,,,
Was Monroe anticlerical ,1,,,,,,,,,,,,
Why are upright pianos more compact ,1,,,,,,,,,,,,
Is Uruguay's warmest month June?,1,,,,,,,,,,,,
Is it true that semantics causes a number of false friends?,1,,,,,,,,,,,,
1 inch screens are a bit cramped if several toolbars have been turned on .,0,,,,,,,,,,,,
"Great for music, just OK for video",0,,,,,,,,,,,,
" With the view maximized, the screen is large enough to work on documents and read online research materials .",0,,,,,,,,,,,,
Is in the 1996 movie Surviving Picasso Picasso played by actor Anthony Hopkins ,1,,,,,,,,,,,,
What is a trumpet constructed of ,1,,,,,,,,,,,,
Are lobsters invertebrates ,1,,,,,,,,,,,,
The coastline is what ,1,,,,,,,,,,,,
What is the most extensively celebrated holiday ,1,,,,,,,,,,,,
"Who was the victor of the ""War of Currents""?",1,,,,,,,,,,,,
What is Jakarta ,1,,,,,,,,,,,,
Was Ulysses Grant a general in the American Civil War?,1,,,,,,,,,,,,
Was Grover Cleveland married in the whitehouse ,1,,,,,,,,,,,,
What was Alessandro Volta`s profession?,1,,,,,,,,,,,,
" Comfort is great, mileage is good overall, better on the road than expected  , compared to my 1999 Camry .",0,,,,,,,,,,,,
"s a great car, spacious, comfortable, fun to drive, and handles very well .",0,,,,,,,,,,,,
Are most eels predators ,1,,,,,,,,,,,,
What caused Wilson to ask Congress to declare war on the Central Powers?,1,,,,,,,,,,,,
 The front driver seat's lumbar support seemed very uncomfortable at first .,0,,,,,,,,,,,,
"The SI unit of charge, the coulomb, was named after him ",1,,,,,,,,,,,,
Is it the world 's second largest country by total area ,1,,,,,,,,,,,,
Who is the head of state of Ghana ,1,,,,,,,,,,,,
How many of James Watt's children did not live to adulthood?,1,,,,,,,,,,,,
 Very convenient location for Gloucester Road tube .,0,,,,,,,,,,,,
" Since this location is the designated layover site for American Airlines, there were tons of pilots and flight attendants everywhere, but that added to the  familiar  feeling of having Americans around .",0,,,,,,,,,,,,
 Takes sometime to get use to the small screen .,0,,,,,,,,,,,,
1 inch screen is bigger than the 8 .,0,,,,,,,,,,,,
Is The Parliament of Ghana unicameral ,1,,,,,,,,,,,,
 Fantastic location and local amenities i .,0,,,,,,,,,,,,
Was King Victor  Emmanuel  III there to pay  homage  to Avogadro?,1,,,,,,,,,,,,
" Although in some ways I would have preferred a smaller, more authentic English hotel, we really couldn't beat the combination of price and location   .",0,,,,,,,,,,,,
" The videos are very crisp and clean, the video camera is nice, I was very surprised with the quality .",0,,,,,,,,,,,,
"The screen is less obtrusive than the white of a book page, which also helps my eyes from growing tired too quickly .",0,,,,,,,,,,,,
Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements  ,1,,,,,,,,,,,,
Which Berlin building did architect Norman Foster remodel in the 1990s ,1,,,,,,,,,,,,
What do economy and law have in common ,1,,,,,,,,,,,,
" I wish the video camera had a pause on it, but you can't pause .",0,,,,,,,,,,,,
Are these marked with an asterisk  ( *  )?,1,,,,,,,,,,,,
" Good looking inside and out, comfortable and roomy, commendable performance, and excellent gas mileage .",0,,,,,,,,,,,,
"All the features of Vista, but without any of the problems .",0,,,,,,,,,,,,
" There are different voices you can choose to give you your directions, even Australian, American and British English .",0,,,,,,,,,,,,
Was Lincoln chosen as a presidential candidate in 1860 ,1,,,,,,,,,,,,
Was Volta made a count by Napoleon in 1810 ,1,,,,,,,,,,,,
Is the Polar Bear the mascot of Bowdoin college  ,1,,,,,,,,,,,,
Was Grover Cleveland the twenty-seventh president of the United States ,1,,,,,,,,,,,,
Can a panther be any of several species of large felid ,1,,,,,,,,,,,,
Who or what vary greatly in form within the coleoptera ,1,,,,,,,,,,,,
"On average, are cougar males heavier than females ",1,,,,,,,,,,,,
What period of rapid economic growth did the United States experience during Coolidge's presidency ,1,,,,,,,,,,,,
Has the flute been dated to prehistoric times ,1,,,,,,,,,,,,
" The car is roomy inside, comfortable, handles and performs great and is fun to drive .",0,,,,,,,,,,,,
Has Singapore Changi Airport a network of 81 airlines connecting Singapore to 185 cities in 58 countries  ,1,,,,,,,,,,,,
What is the cause of local earthquakes ,1,,,,,,,,,,,,
Is Ghana in Asia ,1,,,,,,,,,,,,
When was James Monroe elected president ,1,,,,,,,,,,,,
Have kangaroos fared well since European S08_settlement ,1,,,,,,,,,,,,
" This time around, Apple is branching out of its iPod formula in a small, but not insignificant way by gracing the back of the Nano with its own video camera .",0,,,,,,,,,,,,
Who features violinist Boyd Tinsley ,1,,,,,,,,,,,,
" Can't beat the room, gas mileage and performance for dollar .",0,,,,,,,,,,,,
What is the most densely populated independent country in the world ,1,,,,,,,,,,,,
What are Carleton University's athletic teams called?,1,,,,,,,,,,,,
"Was he a child prodigy who was educated by his father, a civil servant ",1,,,,,,,,,,,,
 Service was great and the location of the hotel was very convenient   .,0,,,,,,,,,,,,
Who did MassachuS08_setts send in 1774 ,1,,,,,,,,,,,,
did faraday have strong maritime interests ,1,,,,,,,,,,,,
" With the view maximized, the screen is large enough to work on documents and read online research materials .",0,,,,,,,,,,,,
Was Tesla on the cover of Time magazine ,1,,,,,,,,,,,,
What is the outer layer of the cuticle made of ,1,,,,,,,,,,,,
" It is a fingerprint magnet, and because of the glossy screen, its very reflective of light .",0,,,,,,,,,,,,
From which languages is Korean descended ,1,,,,,,,,,,,,
Will oil and gas probably remain the backbone of Qatar 's economy for some time to come  ,1,,,,,,,,,,,,
" The hotel is in an ok location ,  close the the Gloucester Rd tube station .",0,,,,,,,,,,,,
" It gets great mileage for a V6, good sound system that comes standard in all Camrys and overall styling looks sporty and aggressive .",0,,,,,,,,,,,,
Why did Indonesia break off relations with the People's Republic of China ,1,,,,,,,,,,,,
Why is Copenhagen a regional hub?,1,,,,,,,,,,,,
What did Aristotle say about elephants ,1,,,,,,,,,,,,
" Room service food quality was very good but with a $7 tray charge plus 20% service, I then absolutely refuse to tip for delivery .",0,,,,,,,,,,,,
What graduated from Black ,1,,,,,,,,,,,,
When was Lee Kuan Yew prime minister of Singapore ,1,,,,,,,,,,,,
"3 sometimes the screen will all of a sudden distort and I have to re, start to get it to work .",0,,,,,,,,,,,,
Why is the giant otter becoming increasingly rare ,1,,,,,,,,,,,,
" Secondly, the thing has the capability to record video, but won't take pictures .",0,,,,,,,,,,,,
What would a tiger do when seized by a crocodile?,1,,,,,,,,,,,,
Did Isaac Newton die in 1898 ,1,,,,,,,,,,,,
Are a wolf's teeth its main weapons ,1,,,,,,,,,,,,
Do foxes damage fruit on farms?,1,,,,,,,,,,,,
Is the Vietnamese  term  for Chinese writing Hán t?,1,,,,,,,,,,,,
" Being able to change your font size is really nice as well, but I keep mine at the lowest so I don't have to turn pages so often .",0,,,,,,,,,,,,
"The single thing to recommend this hotel is the location, which is excellent .",0,,,,,,,,,,,,
Was Tesla an American citizen ,1,,,,,,,,,,,,
What type of creatures breathe air and don't lay eggs underwater?,1,,,,,,,,,,,,
 The location close to a tube station and a grocery store is ideal .,0,,,,,,,,,,,,
 Gas mileage stinks too but it may be better if they could figure out the engine problems .,0,,,,,,,,,,,,
" If you want a reasonably priced place to stay in London in a convenient location, then this is a good choice !",0,,,,,,,,,,,,
"All in all a clean room, great location near hyde park and all the stuff in kensington chelea, near tube station , quiet area .",0,,,,,,,,,,,,
 I have more productivity  flow  on a conventional laptop with a full sized screen and keyboard .,0,,,,,,,,,,,,
" No, the Honda does not have the anti, sway of those vehicles in high, cornering speeds, but it is more comfortable .",0,,,,,,,,,,,,
 The size is very nice and compact and the videos are beautiful !,0,,,,,,,,,,,,
Was Ford an Eagle Scout ,1,,,,,,,,,,,,
" It does so many things,  Wow, nav, video, mp3, and more !",0,,,,,,,,,,,,
 I decided to get this iPod cause of the Memory and the Video Cam in the back .,0,,,,,,,,,,,,
"haven't quite mastered the video camera yet, but I'm okay with that !",0,,,,,,,,,,,,
What part of an elephant is very important for temperature regulation ,1,,,,,,,,,,,,
 I would say this is a better than standard HI and the location just can't be beat .,0,,,,,,,,,,,,
"Great performance, great gas mileage  , superior quality ,  I always thought of a Camry as just a practical family sedan .",0,,,,,,,,,,,,
" some changes such as video camera and bigger screean, but it was just ok .",0,,,,,,,,,,,,
 Gas mileage is only about 22 around town .,0,,,,,,,,,,,,
One of the nicest features about this hotel is the location .,0,,,,,,,,,,,,
 Most uncomfortable seats in any vehicle I have ever owned .,0,,,,,,,,,,,,
What contribution did Charles-Augustin de Coulomb make to the field of geotechnical engineering?,1,,,,,,,,,,,,
What is largest polar bear on record ,1,,,,,,,,,,,,
What is James Watt most famous for?,1,,,,,,,,,,,,
" The location is right next to the Picadilly line tube stop, so it is very convenient to get around town and also to the airport .",0,,,,,,,,,,,,
Was Lee Kuan Yew a successful leader of Singapore ,1,,,,,,,,,,,,
Is the SI unit for radioactivity named after him?,1,,,,,,,,,,,,
"7, as I edged into the mountains of NC and Virginia, the mileage fell to 30 .",0,,,,,,,,,,,,
Good location clean and comfortable .,0,,,,,,,,,,,,
Do otters live in water ,1,,,,,,,,,,,,
Does the koala fill the same ecological role as the sloth of South America ,1,,,,,,,,,,,,
Have many European languages borrowed numerous words from it?,1,,,,,,,,,,,,
"I've had this car for a year ,  bought it for the low emissions, safety, and good mileage rating ,  and I'm considering trading it in .",0,,,,,,,,,,,,
" I was also nervous about the fact that occasionally the image on the computer screen  shivered , although it normally recovered from that .",0,,,,,,,,,,,,
Is a bee an insect?,1,,,,,,,,,,,,
Is Vietnamese the official administrative language of Vietnam ,1,,,,,,,,,,,,
 The food for our event was delicious .,0,,,,,,,,,,,,
How long is polar bear's guard hair ,1,,,,,,,,,,,,
I can hear the windows but my screen is totally blank .,0,,,,,,,,,,,,
 For a 4 cylinder car I am surprised at the comfortable and peppy drive .,0,,,,,,,,,,,,
Is it true that coulomb leaves a legacy as a hero?,1,,,,,,,,,,,,
" I have not accidentally knocked it over, but I think it could easily be done  the screen is glossy   .",0,,,,,,,,,,,,
" Some of the Asus special on screen controls, update and expand features built into the machine have not been all that useful and some border on being advertisements for buying Asus stuff .",0,,,,,,,,,,,,
"Did Coulomb die in AngoulÃªme, France, to a well-to-do family ",1,,,,,,,,,,,,
 The seat contour creates uncomfortable pressure points which quickly become tiring and downright painful .,0,,,,,,,,,,,,
" The model 255W that we received seemed to take longer to find a satelite, and the man's voice was very fast and not as clear, and at times seemed a bit confused in directions .",0,,,,,,,,,,,,
What is a roo ,1,,,,,,,,,,,,
Did the Japanese invasion and subsequent occupation during WWII end Dutch rule ,1,,,,,,,,,,,,
Where do joeys complete postnatal development ,1,,,,,,,,,,,,
What happened in 1838 ,1,,,,,,,,,,,,
I rated this item with 4 stars because it does not have Jill's voice and there's no way to put it in .,0,,,,,,,,,,,,
 It's very easy to use and its video camera is very nice and it doesn't ghost .,0,,,,,,,,,,,,
" Location can't be beat, right on bus lines, next to tube station .",0,,,,,,,,,,,,
Is the Aburukuwa a type of drum ,1,,,,,,,,,,,,
Is Berlin the largest city in Germany ,1,,,,,,,,,,,,
Did James Watt marry his cousin ,1,,,,,,,,,,,,
